uniq_id,retail_price,discounted_price,discount_amount,product_rating,overall_rating,discount_percentage,main_category,product_name,description,clean_description,negotiation_dialogue,user_behavior,stock_status,recommended_products,feedback_score,feedback_text,helpful_votes,return_reason,recommend_to_others
e54bc0a7c3429da2ebef0b30331fe3d2,1724,950,774,5.0,5.0,44.89559165,Footwear,ladela bellies,key features of ladela bellies brand ladela color  blackladela bellies price rs 950 experience the best bellies from the house of ladela providing the best material to keep your feet cozy and active for the whole dayspecifications of ladela bellies general occasion casual ideal for women shoe details heel height 0 inch outer material pu color black,key features of ladela bellies brand ladela color blackladela bellies price rs experience the best bellies from the house of ladela providing the best material to keep your feet cozy and active for the whole dayspecifications of ladela bellies general occasion casual ideal for women shoe details heel height inch outer material pu color black,"User: Can you give me a better price?
Bot: This is the lowest price available for this quality product.",added_to_cart,Out of Stock,"sneha unique women wedges, alberto torresi loafers, dearfoams boots",4.821042765,Excellent quality and value! (Footwear),23,This product is purchased,Yes
bec784ef794cf596dbe2cbbaf5427ef0,499,390,109,3.0,3.0,21.84368737,Beauty and Personal Care,bulaky vanity case jewellery vanity case,buy bulaky vanity case jewellery vanity case for rs390 online bulaky vanity case jewellery vanity case at best prices with free shipping  cash on delivery only genuine products 30 day replacement guarantee,buy bulaky vanity case jewellery vanity case for rs online bulaky vanity case jewellery vanity case at best prices with free shipping cash on delivery only genuine products day replacement guarantee,"User: Can you give me a better price?
Bot: We can offer free shipping if you proceed with the purchase now.",viewed,Low Stock,"yardley english rose festive collection pack combo set, playboy new york combo set, engage combo set",2.797365492,"It works, but has some flaws. (Beauty and Personal Care)",26,Defective item,No
d620fa0d35825bb3c0717e9d3446cc97,1399,699,700,3.6,3.6,50.03573981,Clothing,roadster mens zipper solid cardigan,key features of roadster mens zipper solid cardigan fabric 100 acrylic suitable for western wearroadster mens zipper solid cardigan price rs 699 navy blue and olive green cardigan has a mock collar a full zip closure long raglan sleeves two insert pockets a ribbed hemlook stylish while beating the winter chill in this comfortable cardigan from roadster team it with a pair of jeans and casual shoes when heading out for the dayspecifications of roadster mens zipper solid cardigan cardigan details closure zipper sleeve full sleeve number of contents in sales package pack of 1 fabric 100 acrylic general details pattern solid ideal for mens occasion casual fabric care machinewash cold additional details style code 872907,key features of roadster mens zipper solid cardigan fabric acrylic suitable for western wearroadster mens zipper solid cardigan price rs navy blue and olive green cardigan has a mock collar a full zip closure long raglan sleeves two insert pockets a ribbed hemlook stylish while beating the winter chill in this comfortable cardigan from roadster team it with a pair of jeans and casual shoes when heading out for the dayspecifications of roadster mens zipper solid cardigan cardigan details closure zipper sleeve full sleeve number of contents in sales package pack of fabric acrylic general details pattern solid ideal for mens occasion casual fabric care machinewash cold additional details style code,"User: What if I buy two? Will you lower the price?
Bot: This is the lowest price available for this quality product.",wishlist,Low Stock,"oye top with skirts girls  combo, miss chase womens bandage dress, new day graphic print boys round neck tshirt",4.042516978,Excellent quality and value! (Clothing),22,This product is purchased,Yes
f355cc1ccb08bd0d283ed979b7ee7515,1099,449,650,5.0,5.0,59.14467698,Watches,camerii wm64 elegance analog watch   for men boys,camerii wm64 elegance analog watch   for men boys  buy camerii wm64 elegance analog watch   for men boys  wm64 online at rs449 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,camerii wm elegance analog watch for men boys buy camerii wm elegance analog watch for men boys wm online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: We can offer free shipping if you proceed with the purchase now.",added_to_cart,Low Stock,"chappin  nellson cnl50whiterg analog watch   for women, colat colatmw20 sheen analog watch   for men women boys girls, fastrack 9331pp01 basics analog watch   for men",4.997327085,Very satisfied with this purchase. (Watches),45,This product is purchased,Yes
c0824c9e7ee6b79006ce698a2a7a413c,3999,849,3150,5.0,5.0,78.76969242,Watches,colat colatmw20 sheen analog watch   for men women boys girls,colat colatmw20 sheen analog watch   for men women boys girls  buy colat colatmw20 sheen analog watch   for men women boys girls  colatmw20 online at rs849 in india only at flipkartcom  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,colat colatmw sheen analog watch for men women boys girls buy colat colatmw sheen analog watch for men women boys girls colatmw online at rs in india only at flipkartcom great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: This is the lowest price available for this quality product.",wishlist,Out of Stock,"maxima 24990lmli swarovski analog watch   for women, sonata 7007sl02 analog watch   for men, maxima 07035lmli attivo analog watch   for women",4.775050283,Excellent quality and value! (Watches),47,This product is purchased,Yes
0aa9c84298f0b956cb879d87ff728bf8,1099,399,700,5.0,5.0,63.69426752,Watches,rorlig rr028 expedition analog watch   for men boys,"rorlig rr028 expedition analog watch   for men boys
                         price rs 399
				
			you will be bombarded with complimenting glances as you walk out wearing this brownblack coloured analog watch featuring a stylish dial and attractive leather strap this watch will be a classy touch to your look this stylish accessory is a fine pick to flaunt with casuals as well as with formals too
you will be bombarded with complimenting glances as you walk out wearing this brownblack coloured analog watch featuring a stylish dial and attractive leather strap this watch will be a classy touch to your look this stylish accessory is a fine pick to flaunt with casuals as well as with formals too",rorlig rr expedition analog watch for men boys price rs you will be bombarded with complimenting glances as you walk out wearing this brownblack coloured analog watch featuring a stylish dial and attractive leather strap this watch will be a classy touch to your look this stylish accessory is a fine pick to flaunt with casuals as well as with formals too you will be bombarded with complimenting glances as you walk out wearing this brownblack coloured analog watch featuring a stylish dial and attractive leather strap this watch will be a classy touch to your look this stylish accessory is a fine pick to flaunt with casuals as well as with formals too,"User: Can you give me a better price?
Bot: We already offer the best price, but let me check if there's a promotion.",added_to_cart,In Stock,"geonaute 1620362 digital watch   for men, luba ty47 stylo analog watch   for men, elantra s 10 analog watch   for boys men",4.100845245,Excellent quality and value! (Watches),18,This product is purchased,Yes
130a50a99e78426459f0d909b0bc0f07,1199,899,300,5.0,5.0,25.02085071,Footwear,lyc white casual boots,lyc white casual boots  buy lyc white casual boots  2202 only for rs 899 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,lyc white casual boots buy lyc white casual boots only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Is there any discount available?
Bot: We can offer free shipping if you proceed with the purchase now.",added_to_cart,Low Stock,"clarks olga masie women flats, catwalk women flats, cubane wahcb26 loafers",5.0,Highly recommend! (Footwear),47,This product is purchased,Yes
b8950a817c882307669cc6cdc34fbb93,1699,849,850,3.5,3.5,50.02942908,Watches,fluid dmf002gr01 digital watch   for boys,fluid dmf002gr01 digital watch   for boys  buy fluid dmf002gr01 digital watch   for boys  dmf002gr01 online at rs849 in india only at flipkartcom plastic case water resistant buckle clasp chronograph function rectangle dial black strap  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,fluid dmfgr digital watch for boys buy fluid dmfgr digital watch for boys dmfgr online at rs in india only at flipkartcom plastic case water resistant buckle clasp chronograph function rectangle dial black strap great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: This is the lowest price available for this quality product.",viewed,Low Stock,"flippd fdlwbr3714 fashion analog watch   for men, sonata 7078yl04 fiber collection analog watch   for men, sonata 8959yl01 yuva gold analog watch   for women",4.962914791,Excellent quality and value! (Watches),34,This product is purchased,Yes
eb7148dc532ca3a71f0c88fe1d617b4d,3399,1359,2040,4.4,4.4,60.01765225,Footwear,bruno manetti cannelita boots,bruno manetti cannelita boots  buy bruno manetti cannelita boots  bmjd41 only for rs 1359 from flipkartcom only genuine products 30 day replacement guarantee free shipping cash on delivery,bruno manetti cannelita boots buy bruno manetti cannelita boots bmjd only for rs from flipkartcom only genuine products day replacement guarantee free shipping cash on delivery,"User: Can I get a special deal on this?
Bot: For bulk purchases, I can give you a 10% discount.",added_to_cart,Low Stock,"adidas isolation 2 basketball shoes, kielz ladies boots, leather king alan black lace up",4.730362572,Very satisfied with this purchase. (Footwear),11,This product is purchased,Yes
a8980adc2e8740e50dc4d305da965409,375,263,112,5.0,5.0,29.86666667,Watches,kool kidz dmk012qu02 analog watch   for girls boys,kool kidz dmk012qu02 analog watch   for girls boys  buy kool kidz dmk012qu02 analog watch   for girls boys  dmk012qu02 online at rs263 in india only at flipkartcom round dial dark green strap water resistant metal case  great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,kool kidz dmkqu analog watch for girls boys buy kool kidz dmkqu analog watch for girls boys dmkqu online at rs in india only at flipkartcom round dial dark green strap water resistant metal case great discounts only genuine products day replacement guarantee free shipping cash on delivery,"User: What if I buy two? Will you lower the price?
Bot: I can offer an additional 5% off if you leave a positive review.",purchased,In Stock,"sonata everyday analog watch  for men, maxima 19413ppsn fiber collection digital watch   for men, only kidz 20600 digital watch   for boys girls",5.0,Excellent quality and value! (Watches),36,This product is purchased,Yes
